"county_fips","per_arthritis","pred_outcome"
"01001",34.5,27.0807744002857
"01003",34.6,28.6685363235485
"01005",37.1,32.4973671682915
"01007",33.9,30.5180910099267
"01009",34.6,31.0148842585557
"01011",35.3,30.7431818567286
"01013",38.1,34.4675469579196
"01015",35.4,30.0551974071828
"01017",36.8,32.6127929785901
"01019",43.6,33.840554597216
"01021",32.7,30.8877706285738
"01023",41.8,36.2433962712417
"01025",37.3,34.2194666058715
"01027",36.6,34.2368808322247
"01029",37.4,31.6466249767851
"01031",33.2,28.9133797243093
"01033",36.1,31.511494726159
"01035",38.7,35.0697307159249
"01037",42.2,34.7312705120486
"01039",40.3,33.2310870016568
"01041",36,32.6597990965664
"01043",34.7,30.4155719031664
"01045",35.6,29.9548014852186
"01047",38.5,33.8562409793517
"01049",38.3,31.0211738325964
"01051",33,27.9668307467434
"01053",37.6,31.7468893787576
"01055",35.2,30.5758796405196
"01057",39.5,34.0867599974415
"01059",37.9,30.1127616582433
"01061",40.4,33.3236256587018
"01063",41.7,36.6541279455922
"01065",38.6,34.7167370728917
"01067",37.4,33.4458177378288
"01069",33.7,29.6088042362887
"01071",38,32.533989293508
"01073",31.6,26.5788581919898
"01075",38.6,34.5403158639605
"01077",34.1,30.0373394380201
"01079",38.9,31.9959102316709
"01081",28,24.295134228388
"01083",33.3,26.6665970706399
"01085",39.5,34.6374837216151
"01087",34.5,33.3985431479749
"01089",28.1,23.6896155664947
"01091",38.9,32.6415466446248
"01093",38.9,33.1465351628241
"01095",35.4,29.1023867723152
"01097",33.3,28.4577403125094
"01099",40.5,33.9128540754172
"01101",32,27.0298099831362
"01103",34.6,28.4138772876136
"01105",39.3,37.2864594497217
"01107",37.1,34.1900935545774
"01109",28.7,29.2882726152288
"01111",36.7,33.2562524714574
"01113",32.7,29.8640717337761
"01115",34.7,29.6525925819273
"01117",29.2,23.9496578669026
"01119",34.5,34.6790518594321
"01121",40.3,31.6136219284995
"01123",39.7,33.2752903174201
"01125",30.1,26.6247680213192
"01127",37.2,31.5813649652507
"01129",40.3,32.8484693379935
"01131",42.2,36.394085104824
"01133",39.3,33.3041302944197
"04001",32,30.5514400194635
"04003",29.9,30.4213548130564
"04005",23,24.1669242737146
"04007",37.1,35.5319383295218
"04009",24.5,27.8444876582415
"04011",24.5,27.7483500407244
"04012",40.3,40.614411764174
"04013",24.1,24.3416936991864
"04015",38.4,35.8187989931744
"04017",30.1,31.1511663907466
"04019",26.4,27.5869730606992
"04021",28.6,28.6186201944726
"04023",24.7,29.3217014313269
"04025",35.3,34.2384937427682
"04027",26.4,29.1175848818812
"05001",35.3,32.0589957794165
"05003",37.1,34.7301680848479
"05005",40.8,36.9272399037526
"05007",25.7,23.4655830943139
"05009",35.7,31.9004208801856
"05011",36.2,31.1336411316626
"05013",34.6,33.1696641045454
"05015",35.7,31.7031118500179
"05017",40.4,33.2524079162342
"05019",28.7,29.697398739336
"05021",36,33.964567145029
"05023",41.4,35.1656884157293
"05025",40.7,34.8805620188563
"05027",30,31.5742328530469
"05029",36.8,32.1373881650745
"05031",30.2,26.9944414883631
"05033",31.3,29.8765716202635
"05035",32.3,29.5326616024086
"05037",37,32.2036218087607
"05039",37.2,34.3383908104085
"05041",37.6,33.2480544989522
"05043",38.4,30.9351467088277
"05045",27.5,25.9698421123159
"05047",36.5,33.9088489254625
"05049",42.4,34.7707915763707
"05051",35,32.1338538409042
"05053",32.2,30.6071195525364
"05055",33.1,29.6011246993005
"05057",37,31.9065688025299
"05059",35.9,30.933677460242
"05061",33,31.7083415401581
"05063",38.1,30.6602382332076
"05065",36,34.2967866835999
"05067",34.4,31.9494334747095
"05069",33.3,30.1829815347255
"05071",36.4,31.3080490241382
"05073",43.2,35.6525667770012
"05075",38.4,31.8059042633517
"05077",35.3,32.4073455673131
"05079",29.2,26.6583423148529
"05081",35.7,32.9372598071227
"05083",36.9,32.455119025387
"05085",33.4,27.5953762707513
"05087",38.3,32.5193383432491
"05089",41.7,37.3792436169922
"05091",34.2,30.0975929177679
"05093",35.3,30.1896599369939
"05095",39.9,35.5450838704173
"05097",40.6,35.1167397369805
"05099",38.2,35.8122539464494
"05101",40.6,35.1101950695781
"05103",35.3,33.2775144381696
"05105",35.2,32.7295403781766
"05107",39.9,34.950576166581
"05109",35.9,32.7282171737079
"05111",38.4,32.781913906751
"05113",37.6,33.5683544240515
"05115",34.1,28.8273617649807
"05117",37.5,33.5974614179483
"05119",29.1,26.3876000261946
"05121",36.1,32.1868512009274
"05123",34.8,30.4567477536739
"05125",30,28.2372241365817
"05127",36.5,31.6857576905732
"05129",40.1,37.1243208433486
"05131",31.1,27.7585173285043
"05133",28.6,28.4811608224981
"05135",42.4,36.0052397708352
"05137",41.9,37.1942852185651
"05139",32,31.5918654088923
"05141",40.9,36.21143542787
"05143",25,23.4119898225364
"05145",33.2,29.4068504444157
"05147",38.7,35.2833409771821
"05149",34.6,30.6018073619202
"06001",20.5,22.3666339922345
"06003",26.9,28.5834074781223
"06005",30.3,32.0341147603741
"06007",25.1,28.2159681842251
"06009",31.9,35.3717529242826
"06011",23.7,27.8604413359641
"06013",23,24.0564569200533
"06015",29.5,29.0920268153106
"06017",30,28.2777834432639
"06019",22.2,26.5485653474842
"06021",25.8,28.898303870616
"06023",26.9,29.0712855981709
"06025",21.3,28.0218874242543
"06027",28.7,30.4201454220043
"06029",21.1,26.2327665806274
"06031",21.4,24.5507524355531
"06033",29.7,32.4816029468273
"06035",24.7,25.4890872893813
"06037",19.3,24.4796630532315
"06039",24.8,29.2653986619797
"06041",26,24.752874274684
"06043",33.1,35.0203262504494
"06045",28.5,31.6968089211414
"06047",23.5,26.8452065764272
"06049",32.8,35.785986454431
"06051",24.3,23.3255504211398
"06053",22.9,25.0810877060678
"06055",26.8,26.5508319197646
"06057",32.5,31.4340785736886
"06059",21.1,23.5118691317084
"06061",25.6,26.2834334543211
"06063",33.9,34.8353617279747
"06065",25,26.0843015538759
"06067",25.5,25.6558790956105
"06069",19.5,25.7075791011531
"06071",22.2,25.2660183966562
"06073",22.7,23.2015673227147
"06075",19.2,21.5048812918252
"06077",20.9,26.4176318765034
"06079",24.9,27.4281331715262
"06081",20.1,22.6956953168237
"06083",21.4,24.7796943914993
"06085",18,20.6264673280074
"06087",22.8,25.2304670615363
"06089",29.4,30.4933003373152
"06091",37.8,36.3069119189461
"06093",32.7,34.1541128495967
"06095",22.9,26.484408358468
"06097",27.3,27.2136929075498
"06099",24.4,27.0990617233707
"06101",24.5,27.8012164642609
"06103",30,31.5170719693763
"06105",34.6,35.069023822459
"06107",22.1,27.1000595095176
"06109",32.5,32.6104987816163
"06111",24.3,24.8098142025288
"06113",19.4,24.226104736119
"06115",22.5,27.161110114075
"08001",21,22.7122501884921
"08003",23.6,26.7907767618648
"08005",22.3,21.7454644141127
"08007",31.3,29.5983408815368
"08009",37.9,34.5880898666742
"08011",27.2,27.723073178056
"08013",23.7,20.724954365764
"08014",23.1,20.0901216639687
"08015",31.9,28.7009512587856
"08017",30.9,31.0677230747009
"08019",27.8,25.4101289008573
"08021",29.9,29.8726958454408
"08023",32.9,36.0373131167596
"08025",22.9,25.4028458905355
"08027",35.4,32.9544437692619
"08029",32.1,32.9593299802428
"08031",19.3,19.7481130881564
"08033",30.6,36.3134976968759
"08035",21.1,19.1899781062312
"08037",22.2,19.3166216390831
"08039",26.6,27.0987982480616
"08041",24.7,22.4178922817104
"08043",29,28.068028456014
"08045",27,21.9954661102212
"08047",29.3,24.3452030065954
"08049",26,26.0465902162069
"08051",21.8,20.141424110616
"08053",32.1,34.0587331050557
"08055",34.1,36.1979479145353
"08057",34.4,35.8272253532517
"08059",26.3,22.9750425644513
"08061",34.5,34.2694181658305
"08063",29.9,29.6438352675876
"08065",20.9,21.0826971897051
"08067",27.2,25.3425619775437
"08069",24.4,23.1358730303736
"08071",33.8,32.9683697335787
"08073",28.6,25.8768424403114
"08075",27.6,27.526475119682
"08077",26.4,27.5451687887423
"08079",33,27.9421481205874
"08081",28.5,27.2382727710887
"08083",32.1,30.4040249708872
"08085",31.8,30.3316347016154
"08087",26.3,27.1471774714927
"08089",31.1,32.1479248501117
"08091",32.5,31.6689366910999
"08093",31,27.8992852673458
"08095",31,30.4245969513729
"08097",25.2,22.6054128351212
"08099",29.1,29.4421410887624
"08101",29.8,29.3501021184723
"08103",27.1,27.8946890097518
"08105",25.7,27.4329590098142
"08107",30.1,22.4729553780976
"08109",33.2,33.4538465398042
"08111",27.6,28.2668911758401
"08113",25.8,20.7952473640247
"08115",35.5,33.3089746635771
"08117",22.3,19.2176122565703
"08119",30.3,28.9321562878836
"08121",28.6,30.5747805384969
"08123",23.4,23.7186315792838
"08125",27.7,27.8842737580246
"10001",28.7,28.5401262312631
"10003",28.2,25.4364668140004
"10005",36.1,33.2015929793643
"11001",17.4,21.2407100050851
"12001",23,24.8789770061008
"12003",25,27.4491469177979
"12005",26.8,26.645017793801
"12007",31.5,29.3618258955911
"12009",31.4,28.7344890279503
"12011",26.2,25.0687147356518
"12013",32.8,28.2628377601513
"12015",38.7,37.5953284871449
"12017",36.5,37.8484725774205
"12019",30.4,26.3419530572752
"12021",30.8,31.6873682989525
"12023",30.9,30.2785082919453
"12027",30.9,30.4220334696837
"12029",34.6,31.6527467464365
"12031",24.9,25.0988350039644
"12033",29.2,26.9199111717937
"12035",34.8,32.8665085069281
"12037",33.2,30.7344925618217
"12039",28.1,32.254470691456
"12041",31.7,30.553128119656
"12043",33.1,32.1889674101756
"12045",30.4,29.3249477196168
"12047",31.9,30.065920874666
"12049",28.9,29.1005673624719
"12051",28.9,25.845085832703
"12053",33.4,32.4891596280117
"12055",36.3,37.1291786055703
"12057",23.4,24.097768113928
"12059",32.5,30.4565651814637
"12061",34.2,33.5588952734852
"12063",34.5,31.5688687532045
"12065",32.3,33.5786413404583
"12067",32.5,28.8792347042492
"12069",31.9,31.5595723536655
"12071",32.4,31.2257163165808
"12073",22.1,24.4210112102793
"12075",33.4,33.843215622795
"12077",28.1,27.8561883410895
"12079",32.9,33.0532030020553
"12081",34.2,30.6394802881925
"12083",37.7,33.9135109781873
"12085",34.2,32.1514484582805
"12086",25,25.3868086971179
"12087",28.5,26.4103651009258
"12089",29.8,29.5926157871726
"12091",25.8,24.4849102836573
"12093",31.3,28.1208128790257
"12095",22.6,22.7083230016429
"12097",23.7,24.907120787902
"12099",29.5,27.7669920809021
"12101",29,29.0516186035508
"12103",31.1,29.4552119489593
"12105",29,29.025427465593
"12107",35.9,33.3377453149524
"12109",24.8,25.4991208801284
"12111",32.7,30.0881922747156
"12113",28.4,24.9517118055314
"12115",36.7,34.2184329959348
"12117",26.4,23.7771691208325
"12119",39.2,45.4305527479671
"12121",34.3,30.9499209381564
"12123",32.6,29.9775273201968
"12125",27.5,25.3701832134445
"12127",31.1,30.3699284727373
"12129",28.2,26.0228432882618
"12131",30,27.2364196293298
"12133",29.8,30.3893167031331
"13001",37.1,31.8884394928211
"13003",29.3,29.7101553567409
"13005",31.4,31.0512311737587
"13007",36.8,34.8085448283595
"13009",27.6,28.4375802441587
"13011",29.1,29.3266359830321
"13013",25.6,24.8024050305024
"13015",27.1,25.973954732595
"13017",35.5,31.5281471560822
"13019",31,30.1056446771663
"13021",29.4,28.8124983885164
"13023",29.8,30.2999458929518
"13025",31.8,30.8643277155558
"13027",34.8,32.4917988060937
"13029",24.4,23.1003163950375
"13031",25.3,26.4052780552786
"13033",30,30.8263957165191
"13035",27,28.8877065644663
"13037",29.4,27.3656057485897
"13039",27.9,26.5249441827726
"13043",32.9,30.6401074743449
"13045",28.8,27.5357301016012
"13047",30.2,27.8399541479679
"13049",30.6,26.3534342936474
"13051",24.7,25.0898123111955
"13053",15.1,16.056780460635
"13055",34,30.9681212506896
"13057",29.2,23.106275340608
"13059",23.3,23.268819136817
"13061",40,37.2265324308571
"13063",25.9,24.8013524905951
"13065",32.9,30.4525371022418
"13067",22.8,20.5817556072469
"13069",29.4,28.3412809257185
"13071",29.1,28.6272103689233
"13073",27.3,23.9253026644271
"13075",30.8,29.6226115269416
"13077",26.9,24.9393213858833
"13079",32,30.9552022153565
"13081",36.2,31.0698587647678
"13083",28.8,29.8506730553312
"13085",27.9,26.7247896610842
"13087",30.1,30.8406523294913
"13089",22.7,22.2287928095425
"13091",34.1,30.6278522315872
"13093",35.3,29.6891801902243
"13095",29.8,29.7497874443782
"13097",25.6,24.3989362622308
"13099",34.2,32.5759507885671
"13101",30.3,28.3968507367117
"13103",25,25.3537021895802
"13105",33.1,33.2911462170421
"13107",31.5,29.8657237085914
"13109",31.5,29.5533925160004
"13111",37.7,34.5525955205839
"13113",26.9,24.5423174959092
"13115",29.8,28.1041714106133
"13117",24.2,19.1900506539863
"13119",31.8,30.5061153534139
"13121",20.4,20.0802548101963
"13123",32.9,32.4836163048626
"13125",36.1,32.9641227294485
"13127",29.7,29.6581816556881
"13129",30.1,27.5776426958338
"13131",31.3,30.113663386907
"13133",35.5,32.3193390598301
"13135",22.8,20.9159379483083
"13137",27.7,29.3681815059304
"13139",29.1,25.3505237089573
"13141",38.6,34.9922816740013
"13143",27,29.1745864246528
"13145",30.9,28.211866230573
"13147",32.1,31.6987952925638
"13149",30.4,31.1256746222784
"13151",24.5,24.6464377925862
"13153",28,24.1800062364743
"13155",34.5,28.8464024669738
"13157",29.4,25.8171213808188
"13159",31.5,30.0053011055737
"13161",31,28.9447570081539
"13163",33.1,32.0473343067458
"13165",33.7,33.6073138929126
"13167",33.1,29.0776781116051
"13169",32.4,30.7280541078095
"13171",29.9,29.7515230560762
"13173",30.4,30.326711798271
"13175",33.3,31.7559574018996
"13177",25.4,24.4408779874345
"13179",22.5,24.2480936063455
"13181",34.5,34.6572179065127
"13183",25.3,26.365363763312
"13185",24.7,26.1001560657677
"13187",27.3,28.6941292186854
"13189",31.4,30.6104833924863
"13191",37.8,35.8501217805766
"13193",33.9,28.764885657245
"13195",30.2,30.6046198338326
"13197",32.7,32.3651279232757
"13199",34.1,33.5844955783096
"13201",35.6,33.7348478969403
"13205",34.3,30.4798612295506
"13207",31.2,28.4589218722852
"13209",31.2,29.5931222150022
"13211",30.8,29.1571363549347
"13213",32.7,28.9804899062167
"13215",30.7,26.1320420065479
"13217",27.5,26.713232686595
"13219",26.4,22.2730371880453
"13221",32,29.5777160503158
"13223",26.6,23.658757121393
"13225",33.9,29.0528897837737
"13227",33.5,30.5976895074551
"13229",32.5,29.5459014496597
"13231",28,28.3308760660262
"13233",29.4,29.0595175145515
"13235",33,35.9964400645992
"13237",34.7,32.7962108785927
"13239",42.3,35.693705766827
"13241",37.4,33.4595977759286
"13243",42,34.9278005256587
"13245",27.8,27.5105200201726
"13247",30.2,25.8386626608324
"13249",32.1,28.0367360530104
"13251",34.5,32.7444806856591
"13253",34.6,33.1636294783596
"13255",30.8,30.5712536052575
"13257",32.2,31.3849696985726
"13259",24,22.7134838793887
"13261",32.5,30.7017154110478
"13263",37.4,35.589254883117
"13265",34.7,38.8530299473158
"13267",28,26.0189341967367
"13269",36.5,35.1413586001657
"13271",31.2,29.4695808825427
"13273",34.7,32.1970351521951
"13275",30.3,29.9915700493588
"13277",29.8,28.5572613004721
"13279",29.7,30.3324841703241
"13281",41.4,36.9413524951539
"13283",35.8,31.7089274536396
"13285",28.2,29.6120298790224
"13287",36.3,32.2892151962716
"13289",35.2,35.232795855549
"13291",37.8,36.5538280389553
"13293",34,31.6015832747153
"13295",34.2,29.0337375339912
"13297",29.6,27.4680675483809
"13299",31.6,29.3418233524813
"13301",35.5,37.1232553815412
"13303",34.2,29.7254683398939
"13305",31,28.7545327702627
"13307",34.8,31.3404047618605
"13309",30.4,23.9956776748264
"13311",31.1,31.7245728572098
"13313",27.4,25.8319940198268
"13315",33.2,28.3847905022217
"13317",37.2,31.4419620778566
"13319",37,34.2067409808385
"13321",34.5,32.7293684343147
"16001",25.4,23.0265581878826
"16003",37.4,34.7809616223375
"16005",24,25.4538005594382
"16007",30.3,31.9322573952964
"16009",31.7,31.3395534324737
"16011",26.3,27.2314931227492
"16013",25.8,24.0086750863393
"16015",34.5,32.3819639198152
"16017",31.4,31.8989539071358
"16019",22.9,23.9061327742556
"16021",32.1,32.9277052541534
"16023",31.9,34.4689232734489
"16025",28.3,26.5256971718026
"16027",24.9,25.7740117918267
"16029",27.4,27.8533821824691
"16031",23.7,26.3152822249283
"16033",26.6,27.3463325900203
"16035",32.8,31.5308571742946
"16037",35.9,34.4718642185207
"16039",23.9,24.8416809072522
"16041",24.1,26.9943955430227
"16043",27.1,27.8765953036602
"16045",30.3,29.7964534600007
"16047",27.8,28.0956060086769
"16049",35.7,32.090797295328
"16051",24.6,24.5643800141823
"16053",24.6,26.8578933279496
"16055",29.6,27.6572100102864
"16057",23.7,23.4530594724457
"16059",34.5,34.0841642803096
"16061",35.5,35.7046052370504
"16063",25.7,27.531630280349
"16065",12.5,24.6714633063592
"16067",26.8,27.9819977587655
"16069",27.8,28.7901201066881
"16071",31.3,30.9615331663367
"16073",25.4,28.6512765834637
"16075",29.2,29.3178457934497
"16077",27,27.5443508486731
"16079",35.1,32.8327757723737
"16081",23.4,22.1525010258442
"16083",25.7,27.1074836528646
"16085",35.4,30.6327310459895
"16087",31.4,33.5243835606931
"17001",31.9,29.6124173761946
"17003",38.2,35.0736163376052
"17005",30,29.3255108678537
"17007",29.7,27.1370380323307
"17009",27.4,23.9580382810714
"17011",32.9,31.7638284003686
"17013",31.8,33.6063910349674
"17015",31.6,31.7618152695966
"17017",30.7,29.9371359070767
"17019",22.6,23.8667523467077
"17021",30,30.0017844459387
"17023",30.9,29.721333541996
"17025",34.8,32.3627068084301
"17027",29.7,27.5506278594937
"17029",29.4,29.1631204417294
"17031",23,24.1206171971731
"17033",30.4,29.1348343939135
"17035",33.3,31.4238907997879
"17037",26,25.565132747652
"17039",32.7,30.0565302863412
"17041",31.9,28.2318800344089
"17043",23.6,22.4673766620153
"17045",34,32.5950768531558
"17047",36,33.7924886592002
"17049",30.1,28.7721825253697
"17051",30.9,30.4669988775923
"17053",30.3,29.6912873831725
"17055",35.5,31.7819706135118
"17057",32.5,31.2053731354722
"17059",36,36.5640011457947
"17061",36.2,31.9669017027639
"17063",25.4,25.8166838489221
"17065",32.9,32.5759109018254
"17067",31.6,32.1739307016682
"17069",36.2,38.04564568382
"17071",34.3,34.6810866467647
"17073",34,30.2689410609132
"17075",32.5,32.3613892799029
"17077",25,27.6821329247849
"17079",30.8,30.2688052539758
"17081",31.6,30.4524563419899
"17083",31.3,30.6096294609727
"17085",38.6,33.5259726262522
"17087",27.9,29.531167783759
"17089",26,23.5770660007837
"17091",30.2,29.1606064259077
"17093",21.8,22.2973139133108
"17095",37.9,31.1099796435314
"17097",24.2,22.1544700646428
"17099",32.2,30.1125626302991
"17101",29,28.2213764995133
"17103",31.7,30.3309747575763
"17105",30,30.0347229795868
"17107",29.7,30.6847832061566
"17109",28.2,29.3662385641657
"17111",27.5,24.4851776314916
"17113",24.9,23.8995459407795
"17115",33.4,30.67154816569
"17117",30.4,32.016512518956
"17119",30.9,27.7098754610846
"17121",32.3,31.6935756673495
"17123",34.6,34.0874949069415
"17125",34.8,33.7299007729564
"17127",33.7,32.2159569150803
"17129",31.3,30.5737066078545
"17131",32.7,31.5845734943677
"17133",29.6,26.3586833089687
"17135",31.3,30.4543427596785
"17137",32.3,30.6994851957927
"17139",30.5,28.9779502971717
"17141",34.2,29.3446657114253
"17143",30.7,27.501753569256
"17145",31.3,30.9993141909041
"17147",32.6,29.4335322821244
"17149",33.6,32.3032484099328
"17151",37.3,35.4012287364431
"17153",36.6,35.5718490210472
"17155",31.2,32.4542781339727
"17157",30.9,30.251831295203
"17159",32.6,30.9818893129584
"17161",28.4,29.4954097086474
"17163",29.3,27.3003950780611
"17165",35.3,31.9443924041486
"17167",28.6,27.8806296078332
"17169",32.6,31.6771464315811
"17171",31.9,31.7628268281308
"17173",35.7,33.0400862802355
"17175",35.7,33.2018794363194
"17177",36.6,32.6128068312555
"17179",31.5,28.2722494244982
"17181",36.8,32.8559596044206
"17183",30.9,31.6366654629586
"17185",34,32.1456928930989
"17187",34.5,30.6066692971252
"17189",30.3,30.6237259029803
"17191",34.1,31.8257416100347
"17193",36.7,33.6861108959435
"17195",33.2,30.7664755210585
"17197",26.9,23.4845370218297
"17199",30.2,28.8766578105703
"17201",29.9,28.8951562616287
"17203",29.9,27.1588309842429
"18001",30.1,26.7713916617721
"18003",28.8,25.7726185790846
"18005",27.2,26.0178551217023
"18007",32.6,30.9065907053524
"18009",34.5,33.0005307963948
"18011",24.7,22.3691231458381
"18013",35,32.3452406134354
"18015",29.7,30.1719268481112
"18017",32,30.4500599976162
"18019",30.5,27.3748757420174
"18021",30.9,30.6476585538447
"18023",29.1,28.6622067574033
"18025",33.4,33.653538392585
"18027",30.4,26.4463712665031
"18029",28.8,28.8099507597854
"18031",29,29.3507919466157
"18033",29.4,28.6639024555478
"18035",30.2,29.4118235694134
"18037",29.8,28.7703177100949
"18039",27.9,26.3779600299922
"18041",33.9,31.8045434378481
"18043",34,26.7636050435791
"18045",33,31.498462225557
"18047",31,30.5188198615938
"18049",33,30.7254355461565
"18051",32,29.4417818810957
"18053",33.1,31.4192032164584
"18055",32.8,31.4826490329973
"18057",22.5,19.5264890224918
"18059",27.7,25.9343038107905
"18061",31.3,29.8431011235717
"18063",28.4,23.2736854714347
"18065",31.1,29.5032794012639
"18067",32.2,30.0388552364113
"18069",30.5,29.049115487561
"18071",33.8,28.6110853276317
"18073",31,29.7406611644921
"18075",36.3,30.3373458293393
"18077",30.9,30.6688342106124
"18079",30.8,29.5031340672874
"18081",27.7,25.1692661888943
"18083",32.2,29.194317823786
"18085",29.7,27.4795955928633
"18087",27.8,22.6820886360963
"18089",29.5,28.2194557498091
"18091",30.3,29.0085937525621
"18093",34.1,30.8067598526456
"18095",32.4,29.1481883134042
"18097",26.7,24.5881188455125
"18099",29.6,28.4638362557301
"18101",34.1,31.5329227674245
"18103",30.9,28.4720395826964
"18105",26.3,23.975157743149
"18107",31.6,29.0382143677788
"18109",34.9,28.8506818057876
"18111",37,32.145996104202
"18113",28.7,27.975711769061
"18115",34.3,33.3486438491625
"18117",33.1,32.4081465894229
"18119",36.4,31.8594678618105
"18121",32.6,31.7458313804266
"18123",30.7,29.2125268116983
"18125",30.6,33.457280644576
"18127",29,26.9503532341449
"18129",30.3,29.9527528469173
"18131",34.7,32.4223283413852
"18133",25.9,28.4875700270674
"18135",35.2,31.6143922285994
"18137",31.6,30.3171346892024
"18139",32.1,30.5239442629435
"18141",26.9,26.5535104627085
"18143",32.1,31.2351788344954
"18145",34.2,29.8772880274964
"18147",30.7,31.2230821787037
"18149",32.7,31.9711619330523
"18151",29.1,29.9326217009602
"18153",31,29.6448193306402
"18155",32.3,31.4239436947488
"18157",22.4,23.4708473815796
"18159",31.2,30.456010083123
"18161",31.9,31.0916865933402
"18163",31.1,27.8679691628683
"18165",31.9,31.4446608869465
"18167",28.4,28.1904281521568
"18169",32.3,30.9977603225601
"18171",30.7,31.9786322375526
"18173",27.4,26.917339223724
"18175",33.4,30.9408201671265
"18177",33.5,30.1815518182865
"18179",29.9,29.2416781221717
"18181",31.9,30.4813868380769
"18183",29.8,28.9677736054483
"19001",31.3,32.5367808311719
"19003",30.8,32.7217854490156
"19005",32,32.373297118725
"19007",31.4,32.9591629664111
"19009",36.7,34.1337432220245
"19011",28.5,30.1551613514339
"19013",26,27.9042268081426
"19015",25.5,28.4491579669129
"19017",24.9,28.3655095337697
"19019",27.2,29.4131115216424
"19021",22.1,27.4374682724891
"19023",33.2,33.6452623968999
"19025",29,32.1413293879244
"19027",28.3,30.5534238474067
"19029",30.9,32.8956374811768
"19031",26.4,31.2605549502945
"19033",31.9,30.3202604629171
"19035",34,32.6808357932172
"19037",28.7,30.7767518619717
"19039",29.1,31.1036565777909
"19041",29.2,30.5741749318354
"19043",33.1,33.8007180142191
"19045",29.4,30.3033330565944
"19047",28.9,30.5965618809216
"19049",22,21.1428526503305
"19051",29.9,26.4955307108026
